timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:49:53.708,0,25,48222,81559,31,149.00,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:53.714,1,89,48198,81559,32,145.95,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:53.717,2,81,48150,81559,29,148.40,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:49:53.722,3,91,47718,81559,30,150.75,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:53.724,4,86,48836,81559,32,145.64,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:53.726,5,82,48980,81559,28,143.32,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:53.729,6,91,48932,81559,30,149.85,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:53.731,7,89,48500,81559,27,145.66,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:49:55.196,0,11,48222,81559,31,146.44,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:55.201,1,82,48198,81559,32,144.08,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:55.206,2,90,48150,81559,29,147.07,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:49:55.211,3,85,47718,81559,30,146.74,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:55.216,4,82,48836,81559,32,145.03,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:55.221,5,88,48980,81559,28,142.06,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:55.226,6,87,48932,81559,30,147.34,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:55.231,7,81,48500,81559,26,143.04,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:49:56.691,0,9,48222,81559,31,148.73,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:56.698,1,81,48198,81559,33,145.78,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:56.708,2,90,48150,81559,30,148.88,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:49:56.711,3,87,47718,81559,30,149.80,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:56.716,4,91,48836,81559,32,145.94,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:56.729,5,90,48980,81559,28,145.53,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:56.732,6,82,48932,81559,30,149.65,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:56.734,7,81,48500,81559,27,145.88,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:49:58.186,0,11,48222,81559,31,148.02,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:58.191,1,92,48198,81559,32,146.15,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:58.194,2,84,48150,81559,29,148.01,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
