timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:40:27.128,3,10,29798,81559,33,123.46,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:27.144,4,0,30730,81559,36,122.86,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:27.153,5,10,31012,81559,30,118.90,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:27.165,6,6,30892,81559,34,123.60,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:27.174,7,6,30372,81559,28,117.73,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:29.120,0,3,27080,81559,34,122.42,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:29.130,1,2,15194,81559,32,120.62,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:29.140,2,1,15234,81559,30,122.50,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:29.165,3,0,14498,81559,32,123.73,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:29.174,4,8,30730,81559,36,122.83,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
